date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:59	8073/8073	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2022%20Sep%202020%2012:14:08%20GMT	https://portfolio-9ecfbb.webflow.io/	C:/Users/ruir2/Documents/Websites/manuporfolio4/index-2.html	(from )
14:13:59	69540/69540	---M-Z	200	added ('OK')	text/css	etag:%22d4cf29739fe94269403a68fa1a4f0e63%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/css/portfolio-9ecfbb.webflow.df8429abc.css	C:/Users/ruir2/Documents/Websites/manuporfolio4/5f64c0487f4e2d301c141879/css/portfolio-9ecfbb.webflow.df8429abc.css	(from https://portfolio-9ecfbb.webflow.io/)
14:14:00	29246/29246	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2022%20Sep%202020%2012:14:10%20GMT	https://portfolio-9ecfbb.webflow.io/work/expatwise	C:/Users/ruir2/Documents/Websites/manuporfolio4/work/expatwise.html	(from https://portfolio-9ecfbb.webflow.io/)
14:14:50	178/178	U-----	200	untouched ('')	image/png	etag:%22cdf6e2f4f30b47cd9e1f7068bec9de18%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f64c0481876301438758c5b_menu-icon.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/5f64c0487f4e2d301c141879/5f64c0481876301438758c5b_menu-icon.png	(from https://portfolio-9ecfbb.webflow.io/)
14:14:50	328988/328988	U-----	200	untouched ('')	image/png	etag:%22d8df345332b53ab260f33a30c4089c34%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f64f99d637f802e1600aaff_Cover%201.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/5f64c0487f4e2d301c141879/5f64f99d637f802e1600aaff_Cover%201.png	(from https://portfolio-9ecfbb.webflow.io/)
14:15:36	29246/29246	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2022%20Sep%202020%2012:15:45%20GMT	https://portfolio-9ecfbb.webflow.io/work/expatwise	C:/Users/ruir2/Documents/Websites/manuporfolio4/work/expatwise.html	(from https://portfolio-9ecfbb.webflow.io/)
14:15:40	34638/34638	U-----	200	untouched ('')	image/png	etag:%220f1cb801ccbc752985351be0433eb3de%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f64f9aebd65a66b862a4ca0_Cover%202.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/5f64c0487f4e2d301c141879/5f64f9aebd65a66b862a4ca0_Cover%202.png	(from https://portfolio-9ecfbb.webflow.io/)
14:15:50	345966/345966	U-----	200	untouched ('')	image/png	etag:%225571be2d9b095a9d86088abd6b9252ca%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f650a690941aa0885822b7b_Cover.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/5f64c0487f4e2d301c141879/5f650a690941aa0885822b7b_Cover.png	(from https://portfolio-9ecfbb.webflow.io/work/expatwise)
14:16:27	30382/30382	U-----	200	untouched ('')	image/png	etag:%22cae57d36acaa45f822f46f3ebab4f2d4%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f64f0413f7313bd90731b4a_Process.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/5f64c0487f4e2d301c141879/5f64f0413f7313bd90731b4a_Process.png	(from https://portfolio-9ecfbb.webflow.io/work/expatwise)
14:16:30	188709/188709	U-----	200	untouched ('')	image/png	etag:%2225de5a4495bff330981045c15035bf7c%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f675df4b4d0cd71201c46dd_Image_solution.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/5f64c0487f4e2d301c141879/5f675df4b4d0cd71201c46dd_Image_solution.png	(from https://portfolio-9ecfbb.webflow.io/work/expatwise)
14:16:31	156168/156168	U-----	200	untouched ('')	image/png	etag:%2272bbc1268ccaad53778040790c4a105b%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f674ea203a8b25fc68a773c_Image_user%201.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/5f64c0487f4e2d301c141879/5f674ea203a8b25fc68a773c_Image_user%201.png	(from https://portfolio-9ecfbb.webflow.io/work/expatwise)
14:16:40	168168/168168	U-----	200	untouched ('')	image/png	etag:%22a640a1313f03abd06e15c009146d2076%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f674ead6ca32590cd10ac77_Image_user%202.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/5f64c0487f4e2d301c141879/5f674ead6ca32590cd10ac77_Image_user%202.png	(from https://portfolio-9ecfbb.webflow.io/work/expatwise)
14:17:17	162346/162346	U-----	200	untouched ('')	image/png	etag:%225fa3c31819c3a0327e63cbcc4450dcf6%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f674ec0e22a357813d190cd_Image_user%203.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/5f64c0487f4e2d301c141879/5f674ec0e22a357813d190cd_Image_user%203.png	(from https://portfolio-9ecfbb.webflow.io/work/expatwise)
14:17:21	712608/712608	U-----	200	untouched ('')	image/png	etag:%2290b0ebe82ed91b030166672919f87372%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f674dd82850f229aeb3dade_Image_persona.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/5f64c0487f4e2d301c141879/5f674dd82850f229aeb3dade_Image_persona.png	(from https://portfolio-9ecfbb.webflow.io/work/expatwise)
14:17:21	369291/369291	U-----	200	untouched ('')	image/png	etag:%223f66e32c12e736cf2e31b86b4845a2c7%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f6751315c4f1e93847dd198_Image_journey.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/5f64c0487f4e2d301c141879/5f6751315c4f1e93847dd198_Image_journey.png	(from https://portfolio-9ecfbb.webflow.io/work/expatwise)
14:17:30	344558/344558	U-----	200	untouched ('')	image/png	etag:%22e2009bcb32e44e9cd1900167a685454a%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f6751510e69d4a6f947026b_Image_flow.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/5f64c0487f4e2d301c141879/5f6751510e69d4a6f947026b_Image_flow.png	(from https://portfolio-9ecfbb.webflow.io/work/expatwise)
14:18:07	102055/102055	U-----	200	untouched ('')	image/png	etag:%222a7f16052997f0e7e3c0cc1647172e93%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f67516cfa641b04b4f8d9cd_Image_sitemap.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/5f64c0487f4e2d301c141879/5f67516cfa641b04b4f8d9cd_Image_sitemap.png	(from https://portfolio-9ecfbb.webflow.io/work/expatwise)
14:18:07	1183779/1183779	U-----	200	untouched ('')	image/png	etag:%22ee9b26230696b9cdee55667abfe6c4ba%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f675d2d03a8b250378a8ee9_Image_prototype.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/5f64c0487f4e2d301c141879/5f675d2d03a8b250378a8ee9_Image_prototype.png	(from https://portfolio-9ecfbb.webflow.io/work/expatwise)
14:18:07	229374/229374	U-----	200	untouched ('')	image/png	etag:%22c15956485cceeac67ae6b4dce703de53%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f67573bfdc039101d7ac859_Image_affinity%20map.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/5f64c0487f4e2d301c141879/5f67573bfdc039101d7ac859_Image_affinity%20map.png	(from https://portfolio-9ecfbb.webflow.io/work/expatwise)
14:18:07	1378426/1378426	U-----	200	untouched ('')	image/png	etag:%22a54f871e64b3539a5211e61309d9815a%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f67575194338c321c642e0d_Image_ui.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/5f64c0487f4e2d301c141879/5f67575194338c321c642e0d_Image_ui.png	(from https://portfolio-9ecfbb.webflow.io/work/expatwise)
