date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:12:24	8064/8064	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2022%20Sep%202020%2009:12:33%20GMT	https://portfolio-9ecfbb.webflow.io/	C:/Users/ruir2/Documents/Websites/manuporfolio4/web/2asjcmxk.html	(from )
11:12:24	28687/28687	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2022%20Sep%202020%2009:12:34%20GMT	https://portfolio-9ecfbb.webflow.io/work/expatwise	C:/Users/ruir2/Documents/Websites/manuporfolio4/web/k38d7jsg.html	(from https://portfolio-9ecfbb.webflow.io/)
11:12:59	13188/13188	U-----	200	untouched ('')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/ruir2/Documents/Websites/manuporfolio4/web/ev6rj69v.js	(from https://portfolio-9ecfbb.webflow.io/)
11:13:10	69469/69469	U-----	200	untouched ('OK')	text/css	etag:%2274cd0af455b52942c062014741fc1633%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/css/portfolio-9ecfbb.webflow.81a8eccdb.css	C:/Users/ruir2/Documents/Websites/manuporfolio4/web/2v65duhn.css	(from https://portfolio-9ecfbb.webflow.io/)
11:13:10	3290/3290	U-----	200	untouched ('')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://uploads-ssl.webflow.com/img/webclip.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/web/e3ah580f.png	(from https://portfolio-9ecfbb.webflow.io/)
11:13:10	178/178	U-----	200	untouched ('')	image/png	etag:%22cdf6e2f4f30b47cd9e1f7068bec9de18%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f64c0481876301438758c5b_menu-icon.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/web/m99bh-rp.png	(from https://portfolio-9ecfbb.webflow.io/)
11:13:45	328988/328988	U-----	200	untouched ('')	image/png	etag:%22d8df345332b53ab260f33a30c4089c34%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f64f99d637f802e1600aaff_Cover%201.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/web/7vzb20zb.png	(from https://portfolio-9ecfbb.webflow.io/)
11:13:46	28687/28687	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2022%20Sep%202020%2009:13:56%20GMT	https://portfolio-9ecfbb.webflow.io/work/expatwise	C:/Users/ruir2/Documents/Websites/manuporfolio4/web/k38d7jsg.html	(from https://portfolio-9ecfbb.webflow.io/)
11:13:54	89476/89476	U-----	200	untouched ('')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=5f64c0487f4e2d301c141879	C:/Users/ruir2/Documents/Websites/manuporfolio4/web/i_x59425.js	(from https://portfolio-9ecfbb.webflow.io/)
11:13:56	55644/55644	U-----	200	untouched ('')	text/javascript	etag:%22da42abe358341d26d1dd74c1fe65e930%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/js/webflow.7e0c7f57b.js	C:/Users/ruir2/Documents/Websites/manuporfolio4/web/_e7dqvw6.js	(from https://portfolio-9ecfbb.webflow.io/)
11:13:56	34638/34638	U-----	200	untouched ('')	image/png	etag:%220f1cb801ccbc752985351be0433eb3de%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f64f9aebd65a66b862a4ca0_Cover%202.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/web/ul_m1b6w.png	(from https://portfolio-9ecfbb.webflow.io/)
11:14:33	345966/345966	U-----	200	untouched ('')	image/png	etag:%225571be2d9b095a9d86088abd6b9252ca%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f650a690941aa0885822b7b_Cover.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/web/3mc-bf4j.png	(from https://portfolio-9ecfbb.webflow.io/work/expatwise)
11:14:40	30382/30382	U-----	200	untouched ('')	image/png	etag:%22cae57d36acaa45f822f46f3ebab4f2d4%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f64f0413f7313bd90731b4a_Process.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/web/lwzwqeq1.png	(from https://portfolio-9ecfbb.webflow.io/work/expatwise)
11:14:42	188709/188709	U-----	200	untouched ('')	image/png	etag:%2225de5a4495bff330981045c15035bf7c%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f675df4b4d0cd71201c46dd_Image_solution.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/web/k7t-84na.png	(from https://portfolio-9ecfbb.webflow.io/work/expatwise)
11:14:43	156168/156168	U-----	200	untouched ('')	image/png	etag:%2272bbc1268ccaad53778040790c4a105b%22	https://uploads-ssl.webflow.com/5f64c0487f4e2d301c141879/5f674ea203a8b25fc68a773c_Image_user%201.png	C:/Users/ruir2/Documents/Websites/manuporfolio4/web/un_2exdh.png	(from https://portfolio-9ecfbb.webflow.io/work/expatwise)
